"county","year","cases","population"
"Clermont",1972,16,99395
"Clinton",1972,24,31982
"Columbiana",1972,24,110490
"Coshocton",1972,22,34908
"Crawford",1972,18,51451
"Cuyahoga",1972,680,1668472
"Darke",1972,18,51198
"Defiance",1972,16,37203
"Delaware",1972,16,44359
"Erie",1972,26,77659
"Fairfield",1972,36,76642
"Fayette",1972,10,26785
"Franklin",1972,302,857183
"Fulton",1972,16,35256
"Gallia",1972,4,26741
"Geauga",1972,8,63384
"Greene",1972,34,125758
"Guernsey",1972,14,39642
"Hamilton",1972,452,913285
"Hancock",1972,10,62665
"Hardin",1972,14,32177
"Harrison",1972,12,17439
"Henry",1972,0,28233
"Highland",1972,16,30024
"Hocking",1972,12,21549
"Holmes",1972,0,25172
"Huron",1972,18,51517
"Jackson",1972,10,27726
"Jefferson",1972,48,96338
"Knox",1972,10,42891
"Lake",1972,66,197928
"Lawrence",1972,30,60359
"Licking",1972,44,110677
"Logan",1972,12,36462
"Lorain",1972,72,260568
"Lucas",1972,194,488593
"Madison",1972,16,29390
"Mahoning",1972,104,303854
"Marion",1972,18,66508
"Medina",1972,22,85075
"Meigs",1972,12,20261
"Mercer",1972,6,36607
"Miami",1972,32,86753
"Monroe",1972,2,15406
"Montgomery",1972,192,601187
"Morgan",1972,6,13530
"Morrow",1972,6,23510
"Muskingum",1972,18,80812
"Noble",1972,10,10658
"Ottawa",1972,10,38712
"Paulding",1972,2,19878
"Perry",1972,10,27846
"Pickaway",1972,14,42184
"Pike",1972,6,20268
"Portage",1972,28,129497
"Preble",1972,16,36079
"Putnam",1972,4,32625
"Richland",1972,30,130801
"Ross",1972,22,61767
"Sandusky",1972,14,62694
"Scioto",1972,50,79969
"Seneca",1972,20,61615
"Shelby",1972,4,38710
"Stark",1972,132,371864
"Summit",1972,194,547161
"Trumbull",1972,68,246895
"Tuscarawas",1972,16,78760
"Union",1972,2,24977
"Van Wert",1972,10,29951
"Vinton",1972,0,10088
"Warren",1972,30,86536
"Washington",1972,16,58688
"Wayne",1972,18,89566
"Williams",1972,10,34686
"Wood",1972,30,94642
"Wyandot",1972,2,22840
"Adams",1973,7,21891
"Allen",1973,38,110273
"Ashland",1973,11,44258
"Ashtabula",1973,29,100428
"Athens",1973,23,56099
"Auglaize",1973,15,40370
"Belmont",1973,33,82704
"Brown",1973,10,29254
"Butler",1973,82,237052
"Carroll",1973,6,23325
"Champaign",1973,17,30738
"Clark",1973,64,157298
"Clermont",1973,36,102780
"Clinton",1973,11,32506
"Columbiana",1973,46,111559
"Coshocton",1973,14,35141
"Crawford",1973,18,51823
"Cuyahoga",1973,688,1641974
"Darke",1973,6,52299
"Defiance",1973,4,37463
"Delaware",1973,17,47356
"Erie",1973,19,78171
"Fairfield",1973,25,79307
"Fayette",1973,17,26606
"Franklin",1973,267,860867
"Fulton",1973,5,35318
"Gallia",1973,11,26955
"Geauga",1973,16,65804
"Greene",1973,27,126601
"Guernsey",1973,22,39869
"Hamilton",1973,418,911646
"Hancock",1973,23,63442
"Hardin",1973,4,32534
"Harrison",1973,6,17731
"Henry",1973,8,28520
"Highland",1973,13,30833
"Hocking",1973,12,21440
"Holmes",1973,7,25797
"Huron",1973,14,52245
"Jackson",1973,14,28769
"Jefferson",1973,36,95851
"Knox",1973,7,43217
"Lake",1973,73,201388
"Lawrence",1973,31,59993
"Licking",1973,39,110830
"Logan",1973,10,37091
"Lorain",1973,74,264778
"Lucas",1973,208,488564
"Madison",1973,7,28296
"Mahoning",1973,98,302497
"Marion",1973,21,66539
"Medina",1973,16,90028
"Meigs",1973,10,21026
"Mercer",1973,9,37356
"Miami",1973,27,87900
"Monroe",1973,4,16028
"Montgomery",1973,249,591799
"Morgan",1973,1,13451
"Morrow",1973,6,24438
"Muskingum",1973,41,80942
"Noble",1973,4,10692
"Ottawa",1973,13,38490
"Paulding",1973,5,20242
"Perry",1973,16,30078
"Pickaway",1973,10,43147
"Pike",1973,8,20361
"Portage",1973,27,131179
"Preble",1973,7,35673
"Putnam",1973,6,32671
"Richland",1973,49,130943
"Ross",1973,20,61980
"Sandusky",1973,22,63460
"Scioto",1973,30,79601
"Seneca",1973,15,62652
"Shelby",1973,9,40061
"Stark",1973,126,381185
"Summit",1973,199,544675
"Trumbull",1973,79,237291
"Tuscarawas",1973,43,80412
"Union",1973,6,25975
"Van Wert",1973,11,30246
"Vinton",1973,4,10313
"Warren",1973,13,88098
"Washington",1973,20,59286
"Wayne",1973,23,90712
"Williams",1973,10,34990
"Wood",1973,26,97650
"Wyandot",1973,5,22817
"Adams",1974,12,22558
"Allen",1974,41,110676
"Ashland",1974,12,44197
"Ashtabula",1974,37,101077
"Athens",1974,11,54052
"Auglaize",1974,12,40907
"Belmont",1974,61,82211
"Brown",1974,11,29486
"Butler",1974,78,239350
"Carroll",1974,5,24013
"Champaign",1974,12,32325
"Clark",1974,53,155839
"Clermont",1974,33,104895
"Clinton",1974,11,33013
"Columbiana",1974,31,111782
"Coshocton",1974,12,35122
"Crawford",1974,13,51466
"Cuyahoga",1974,701,1616282
"Darke",1974,14,53876
"Defiance",1974,8,37788
"Delaware",1974,16,49587
"Erie",1974,25,78071
"Fairfield",1974,37,81766
"Fayette",1974,12,26702
"Franklin",1974,301,864836
"Fulton",1974,4,35979
"Gallia",1974,13,27282
"Geauga",1974,12,66105
"Greene",1974,27,125865
"Guernsey",1974,15,40384
"Hamilton",1974,467,905183
"Hancock",1974,20,63896
"Hardin",1974,16,32101
"Harrison",1974,4,17832
"Henry",1974,6,28483
"Highland",1974,15,31445
"Hocking",1974,5,22153
"Holmes",1974,3,26675
"Huron",1974,9,52575
"Jackson",1974,11,28835
"Jefferson",1974,41,94330
"Knox",1974,18,43771
"Lake",1974,64,203651
"Lawrence",1974,28,60103
"Licking",1974,42,112351
"Logan",1974,18,37218
"Lorain",1974,72,268253
"Lucas",1974,219,486349
"Madison",1974,8,30829
"Mahoning",1974,136,306291
"Marion",1974,27,67540
"Medina",1974,25,92976
"Meigs",1974,7,21288
"Mercer",1974,15,37647
"Miami",1974,32,87887
"Monroe",1974,6,15881
"Montgomery",1974,243,585166
"Morgan",1974,4,13310
"Morrow",1974,5,25250
"Muskingum",1974,39,80406
"Noble",1974,4,10751
"Ottawa",1974,12,39107
"Paulding",1974,4,20427
"Perry",1974,15,28961
"Pickaway",1974,9,43554
"Pike",1974,6,20465
"Portage",1974,41,132611
"Preble",1974,9,35503
"Putnam",1974,6,32577
"Richland",1974,45,130470
"Ross",1974,19,61616
"Sandusky",1974,17,63012
"Scioto",1974,31,80116
"Seneca",1974,22,62502
"Shelby",1974,10,41079
"Stark",1974,155,382326
"Summit",1974,200,537697
"Trumbull",1974,87,240477
"Tuscarawas",1974,33,80918
"Union",1974,11,28251
"Van Wert",1974,12,29746
"Vinton",1974,8,10333
"Warren",1974,24,88477
"Washington",1974,10,59838
"Wayne",1974,20,91174
"Williams",1974,11,35331
"Wood",1974,26,101014
"Wyandot",1974,6,23148
"Adams",1975,12,22273
"Allen",1975,35,110817
"Ashland",1975,18,44818
"Ashtabula",1975,26,101935
"Athens",1975,20,52233
"Auglaize",1975,12,42454
"Belmont",1975,38,82801
"Brown",1975,10,30048
"Butler",1975,103,240620
"Carroll",1975,6,24330
"Champaign",1975,15,32318
"Clark",1975,75,154520
"Clermont",1975,36,109615
"Clinton",1975,11,33281
"Columbiana",1975,43,112298
"Coshocton",1975,14,35741
"Crawford",1975,24,51174
"Cuyahoga",1975,728,1595198
"Darke",1975,25,54269
"Defiance",1975,4,38126
"Delaware",1975,17,49367
"Erie",1975,28,78392
"Fairfield",1975,28,84076
"Fayette",1975,7,26641
"Franklin",1975,328,867442
"Fulton",1975,14,35889
"Gallia",1975,13,28853
"Geauga",1975,14,67732
"Greene",1975,26,125767
"Guernsey",1975,19,40557
"Hamilton",1975,430,892969
"Hancock",1975,15,63888
"Hardin",1975,12,32064
"Harrison",1975,14,17685
"Henry",1975,11,28408
"Highland",1975,16,31322
"Hocking",1975,11,22322
"Holmes",1975,3,27350
"Huron",1975,19,53732
"Jackson",1975,14,29443
"Jefferson",1975,45,94755
"Knox",1975,19,44454
"Lake",1975,62,209085
"Lawrence",1975,45,59133
"Licking",1975,52,115493
"Logan",1975,17,38131
"Lorain",1975,97,268486
"Lucas",1975,249,484940
"Madison",1975,5,32344
"Mahoning",1975,139,289591
"Marion",1975,33,67843
"Medina",1975,24,96819
"Meigs",1975,14,21537
"Mercer",1975,21,37978
"Miami",1975,39,88455
"Monroe",1975,8,15839
"Montgomery",1975,268,583121
"Morgan",1975,5,13448
"Morrow",1975,8,25974
"Muskingum",1975,34,81894
"Noble",1975,5,11134
"Ottawa",1975,24,40023
"Paulding",1975,3,20807
"Perry",1975,12,30410
"Pickaway",1975,13,44317
"Pike",1975,5,21126
"Portage",1975,34,132523
"Preble",1975,12,36175
"Putnam",1975,8,33279
"Richland",1975,48,130963
"Ross",1975,18,62465
"Sandusky",1975,17,63866
"Scioto",1975,40,81275
"Seneca",1975,25,62259
"Shelby",1975,11,41667
"Stark",1975,157,377968
"Summit",1975,225,540074
"Trumbull",1975,75,243923
"Tuscarawas",1975,47,81885
"Union",1975,11,27682
"Van Wert",1975,18,29656
"Vinton",1975,4,10425
"Warren",1975,29,88513
"Washington",1975,20,61101
"Wayne",1975,31,94728
"Williams",1975,9,35238
"Wood",1975,32,99552
"Wyandot",1975,9,23259
"Adams",1976,10,23193
"Allen",1976,54,109791
"Ashland",1976,15,44494
"Ashtabula",1976,40,101116
"Athens",1976,25,51508
"Auglaize",1976,20,41319
"Belmont",1976,39,83259
"Brown",1976,14,30025
"Butler",1976,105,241318
"Carroll",1976,7,24722
"Champaign",1976,13,32873
"Clark",1976,76,151657
"Clermont",1976,33,111781
"Clinton",1976,11,33537
"Columbiana",1976,49,112805
"Coshocton",1976,13,35328
"Crawford",1976,25,51186
"Cuyahoga",1976,760,1578170
"Darke",1976,16,55189
"Defiance",1976,9,38396
"Delaware",1976,15,49834
"Erie",1976,40,78246
"Fairfield",1976,36,85472
"Fayette",1976,11,26974
"Franklin",1976,338,868966
"Fulton",1976,12,36503
"Gallia",1976,13,28709
"Geauga",1976,15,67838
"Greene",1976,37,127975
"Guernsey",1976,20,40304
"Hamilton",1976,492,894106
"Hancock",1976,24,63869
"Hardin",1976,17,32422
"Harrison",1976,6,17561
"Henry",1976,11,28346
"Highland",1976,20,32808
"Hocking",1976,6,22904
"Holmes",1976,9,27875
"Huron",1976,15,53452
"Jackson",1976,22,30149
"Jefferson",1976,53,93747
"Knox",1976,20,44382
"Lake",1976,62,209714
"Lawrence",1976,15,61393
"Licking",1976,50,115142
"Logan",1976,23,38207
"Lorain",1976,93,265032
"Lucas",1976,246,477884
"Madison",1976,10,32077
"Mahoning",1976,144,297632
"Marion",1976,26,67342
"Medina",1976,25,99093
"Meigs",1976,12,21899
"Mercer",1976,11,37789
"Miami",1976,40,88480
"Monroe",1976,6,15955
"Montgomery",1976,266,577371
"Morgan",1976,8,13540
"Morrow",1976,9,25878
"Muskingum",1976,42,82021
"Noble",1976,5,11172
"Ottawa",1976,19,39068
"Paulding",1976,5,20602
"Perry",1976,15,29765
"Pickaway",1976,14,43964
"Pike",1976,11,21394
"Portage",1976,35,133569
"Preble",1976,12,36532
"Putnam",1976,15,33759
"Richland",1976,54,131303
"Ross",1976,17,62384
"Sandusky",1976,19,63485
"Scioto",1976,38,85006
"Seneca",1976,29,61934
"Shelby",1976,18,41542
"Stark",1976,179,375740
"Summit",1976,206,534232
"Trumbull",1976,94,239970
"Tuscarawas",1976,30,82672
"Union",1976,8,28294
"Van Wert",1976,11,29557
"Vinton",1976,3,10416
"Warren",1976,29,91149
"Washington",1976,23,60848
"Wayne",1976,22,94097
"Williams",1976,15,35323
"Wood",1976,25,100495
"Wyandot",1976,4,23065
"Adams",1977,7,23562
"Allen",1977,63,110487
"Ashland",1977,15,44708
"Ashtabula",1977,41,101545
"Athens",1977,18,53994
"Auglaize",1977,18,41524
"Belmont",1977,46,82514
"Brown",1977,11,30597
"Butler",1977,104,246005
"Carroll",1977,10,25171
"Champaign",1977,16,33181
"Clark",1977,71,150800
"Clermont",1977,44,115394
"Clinton",1977,14,33992
"Columbiana",1977,53,113792
"Coshocton",1977,15,35299
"Crawford",1977,17,50859
"Cuyahoga",1977,786,1558647
"Darke",1977,25,55031
"Defiance",1977,12,38898
"Delaware",1977,12,50816
"Erie",1977,34,78439
"Fairfield",1977,36,86447
"Fayette",1977,10,27131
"Franklin",1977,350,875089
"Fulton",1977,2,37131
"Gallia",1977,12,30130
"Geauga",1977,24,70373
"Greene",1977,46,128552
"Guernsey",1977,20,40228
"Hamilton",1977,536,890008
"Hancock",1977,14,64064
"Hardin",1977,24,32353
"Harrison",1977,7,17331
"Henry",1977,10,28420
"Highland",1977,17,33287
"Hocking",1977,10,23188
"Holmes",1977,5,28698
"Huron",1977,16,53928
"Jackson",1977,18,30078
"Jefferson",1977,56,93223
"Knox",1977,18,45221
"Lake",1977,75,209768
"Lawrence",1977,37,61949
"Licking",1977,55,116310
"Logan",1977,23,38386
"Lorain",1977,91,270737
"Lucas",1977,205,474495
"Madison",1977,20,31969
"Mahoning",1977,138,297033
"Marion",1977,37,66949
"Medina",1977,32,103102
"Meigs",1977,10,22138
"Mercer",1977,11,38249
"Miami",1977,58,88980
"Monroe",1977,1,16279
"Montgomery",1977,276,571005
"Morgan",1977,2,13437
"Morrow",1977,7,26465
"Muskingum",1977,50,83031
"Noble",1977,5,11185
"Ottawa",1977,20,40076
"Paulding",1977,5,20783
"Perry",1977,13,30208
"Pickaway",1977,16,44104
"Pike",1977,5,21615
"Portage",1977,38,133367
"Preble",1977,11,36839
"Putnam",1977,8,33526
"Richland",1977,48,130581
"Ross",1977,38,63698
"Sandusky",1977,26,63787
"Scioto",1977,32,84500
"Seneca",1977,31,62251
"Shelby",1977,11,42084
"Stark",1977,137,376118
"Summit",1977,248,528581
"Trumbull",1977,76,241863
"Tuscarawas",1977,46,82977
"Union",1977,8,31013
"Van Wert",1977,16,30308
"Vinton",1977,3,10792
"Warren",1977,29,93554
"Washington",1977,26,61521
"Wayne",1977,24,94157
"Williams",1977,10,35555
"Wood",1977,30,101988
"Wyandot",1977,10,22869
"Adams",1978,13,23917
"Allen",1978,42,109901
"Ashland",1978,13,45323
"Ashtabula",1978,49,102462
"Athens",1978,30,55134
"Auglaize",1978,11,42054
"Belmont",1978,35,82174
"Brown",1978,16,31292
"Butler",1978,123,251343
"Carroll",1978,9,25719
"Champaign",1978,13,33406
"Clark",1978,64,150634
"Clermont",1978,58,120652
"Clinton",1978,17,34397
"Columbiana",1978,48,114611
"Coshocton",1978,15,35469
"Crawford",1978,30,51407
"Cuyahoga",1978,781,1538724
"Darke",1978,25,54691
"Defiance",1978,10,39179
"Delaware",1978,20,51953
"Erie",1978,39,78711
"Fairfield",1978,40,88739
"Fayette",1978,13,27034
"Franklin",1978,357,877061
"Fulton",1978,13,37493
"Gallia",1978,17,29712
"Geauga",1978,15,73210
"Greene",1978,47,129345
"Guernsey",1978,20,40484
"Hamilton",1978,483,886806
"Hancock",1978,17,64856
"Hardin",1978,13,32591
"Harrison",1978,8,17338
"Henry",1978,8,28986
"Highland",1978,19,33419
"Hocking",1978,9,23266
"Holmes",1978,5,29462
"Huron",1978,29,54336
"Jackson",1978,19,30056
"Jefferson",1978,60,92460
"Knox",1978,14,46228
"Lake",1978,81,210956
"Lawrence",1978,33,62430
"Licking",1978,47,118681
"Logan",1978,17,38807
"Lorain",1978,88,275435
"Lucas",1978,235,469325
"Madison",1978,14,32216
"Mahoning",1978,158,292495
"Marion",1978,41,66794
"Medina",1978,32,107733
"Meigs",1978,9,22327
"Mercer",1978,14,38319
"Miami",1978,28,89888
"Monroe",1978,6,16550
"Montgomery",1978,279,569496
"Morgan",1978,7,13645
"Morrow",1978,8,26674
"Muskingum",1978,59,83000
"Noble",1978,5,11183
"Ottawa",1978,14,40502
"Paulding",1978,12,21008
"Perry",1978,14,30858
"Pickaway",1978,9,44333
"Pike",1978,8,22132
"Portage",1978,33,134325
"Preble",1978,13,37183
"Putnam",1978,8,33213
"Richland",1978,52,130900
"Ross",1978,33,64553
"Sandusky",1978,31,64040
"Scioto",1978,34,83868
"Seneca",1978,29,62626
"Shelby",1978,13,42773
"Stark",1978,157,378316
"Summit",1978,246,523969
"Trumbull",1978,91,244996
"Tuscarawas",1978,30,83338
"Union",1978,10,29404
"Van Wert",1978,9,30489
"Vinton",1978,3,10995
"Warren",1978,33,96229
"Washington",1978,26,62727
"Wayne",1978,24,95511
"Williams",1978,8,35918
"Wood",1978,22,104134
"Wyandot",1978,16,22785
"Adams",1979,5,23948
"Allen",1979,76,111387
"Ashland",1979,11,45781
"Ashtabula",1979,38,103767
"Athens",1979,30,55189
"Auglaize",1979,18,42474
"Belmont",1979,40,83336
"Brown",1979,7,31552
"Butler",1979,91,256571
"Carroll",1979,12,25553
"Champaign",1979,12,33875
"Clark",1979,60,150905
"Clermont",1979,51,124709
"Clinton",1979,11,34598
"Columbiana",1979,55,113822
"Coshocton",1979,13,35783
"Crawford",1979,23,50749
"Cuyahoga",1979,825,1517979
"Darke",1979,22,55547
"Defiance",1979,15,39934
"Delaware",1979,25,53600
"Erie",1979,33,78315
"Fairfield",1979,41,91423
"Fayette",1979,15,27453
"Franklin",1979,402,878354
"Fulton",1979,12,37721
"Gallia",1979,20,29464
"Geauga",1979,20,73538
"Greene",1979,49,129791
"Guernsey",1979,17,41064
"Hamilton",1979,528,881168
"Hancock",1979,24,64667
"Hardin",1979,11,32320
"Harrison",1979,7,17769
"Henry",1979,6,28560
"Highland",1979,24,33456
"Hocking",1979,9,23962
